Region,Status,CTSA,GOVT,GOVT AIDED,INDEPENDENT,JNV,KV
Ajmer,Regd.,0,8537,0,102253,4945,9194
Ajmer,Appd.,0,8509,0,101822,4928,9160
Ajmer,Pass,0,8154,0,100178,4911,8875
Bengaluru,Regd.,99,151,0,60667,2442,5108
Bengaluru,Appd.,97,151,0,60555,2440,5093
Bengaluru,Pass,94,151,0,60089,2440,5042
Bhopal,Regd.,0,5802,0,84877,4171,9126
Bhopal,Appd.,0,5681,0,84390,4160,9094
Bhopal,Pass,0,4837,0,79048,4152,8406
Bhubaneswar,Regd.,102,17252,0,81012,5295,13489
Bhubaneswar,Appd.,101,17036,0,80621,5277,13441
Bhubaneswar,Pass,96,15828,0,78070,5272,13136
Chandigarh,Regd.,68,14941,217,112557,2884,7016
Chandigarh,Appd.,67,14868,217,112317,2874,6989
Chandigarh,Pass,49,11280,202,109732,2871,6860
Chen0i,Regd.,0,4935,0,129650,2316,11463
Chen0i,Appd.,0,4867,0,129342,2313,11439
Chen0i,Pass,0,4023,0,128808,2313,11301
Dehradun,Regd.,151,2131,240,76961,1536,4535
Dehradun,Appd.,150,2111,240,76588,1534,4525
Dehradun,Pass,144,2058,223,71206,1533,4412
Delhi East,Regd.,0,124319,7818,78927,81,7339
Delhi East,Appd.,0,123021,7778,78645,81,7317
Delhi East,Pass,0,98859,6038,76635,81,7121
Delhi West,Regd.,0,87771,9527,47235,78,2998
Delhi West,Appd.,0,86757,9437,46955,78,2988
Delhi West,Pass,0,71817,6728,44256,78,2873
Guwahati,Regd.,0,25746,136,28645,5592,6638
Guwahati,Appd.,0,25309,136,28326,5522,6601
Guwahati,Pass,0,15187,126,27151,5474,6421
Noida,Regd.,0,466,1519,132092,1322,4991
Noida,Appd.,0,458,1517,130784,1315,4971
Noida,Pass,0,350,1511,125724,1309,4766
Panchkula,Regd.,89,516,0,154210,2431,3922
Panchkula,Appd.,89,515,0,153618,2424,3906
Panchkula,Pass,77,494,0,147937,2417,3737
Pat0,Regd.,0,203,0,222805,4706,7517
Pat0,Appd.,0,202,0,219583,4676,7488
Pat0,Pass,0,166,0,214586,4651,7271
Prayagraj,Regd.,0,2955,0,173769,3750,9347
Prayagraj,Appd.,0,2789,0,171869,3736,9322
Prayagraj,Pass,0,2203,0,163244,3722,8774
Pune,Regd.,0,2135,0,81413,3016,7322
Pune,Appd.,0,2130,0,81112,3007,7297
Pune,Pass,0,2072,0,79288,3007,6777
Trivandrum,Regd.,0,500,0,61764,1166,4574
Trivandrum,Appd.,0,500,0,61705,1164,4566
Trivandrum,Pass,0,455,0,61548,1164,4551
